accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8517255783081055,0.9285681247711182,0.3615652024745941,0.969075620174408,0.8267852067947388,0.7360594868659973,0.5,5.07485294342041,0.7360594868659973,1.0,0.0010000000474974513
0.8971027135848999,0.9605575203895569,0.2751767933368683,0.974715530872345,0.8844278454780579,0.7360594868659973,0.5,5.745001792907715,0.7360594868659973,1.0,0.0010000000474974513
0.9141457080841064,0.9687661528587341,0.25260865688323975,0.9750462174415588,0.9076570272445679,0.7360594868659973,0.5,5.2791242599487305,0.7360594868659973,1.0,0.0010000000474974513
0.927354097366333,0.9756728410720825,0.2226204127073288,0.9781154990196228,0.922856330871582,0.7360594868659973,0.5,6.381316184997559,0.7360594868659973,1.0,0.0003000000142492354
0.9320409297943115,0.9768990278244019,0.21502138674259186,0.9805825352668762,0.9268712401390076,0.6747211813926697,0.4579331874847412,4.688518524169922,0.7214428782463074,0.9090909361839294,0.0003000000142492354
0.93672776222229,0.9820190668106079,0.197109654545784,0.9781175255775452,0.9357613921165466,0.7360594868659973,0.5045170187950134,6.459858417510986,0.7360594868659973,1.0,9.000000136438757e-05
0.942905843257904,0.9833191633224487,0.1871168166399002,0.9834785461425781,0.9389159679412842,0.7193308472633362,0.48639562726020813,5.618086814880371,0.7333333492279053,0.9722222089767456,9.000000136438757e-05
0.9403494000434875,0.9831231236457825,0.18840394914150238,0.9816761612892151,0.9371953010559082,0.7360594868659973,0.5020629167556763,6.266319751739502,0.7360594868659973,1.0,9.000000136438757e-05
0.9446101188659668,0.9862698912620544,0.17273728549480438,0.9823617339134216,0.9423573017120361,0.7379181981086731,0.5020629167556763,5.961562156677246,0.7374301552772522,1.0,2.700000004551839e-05
0.9422667026519775,0.985460102558136,0.17880120873451233,0.9825930595397949,0.9389159679412842,0.7360594868659973,0.49662113189697266,5.5018463134765625,0.737827718257904,0.9949495196342468,2.700000004551839e-05
0.9435449242591858,0.9838213920593262,0.18292775750160217,0.9788941740989685,0.9443647861480713,0.7379181981086731,0.5055484175682068,5.657189846038818,0.7374301552772522,1.0,8.099999831756577e-06
0.9422667026519775,0.983704149723053,0.18618661165237427,0.9782867431640625,0.9432176947593689,0.7379181981086731,0.5028809309005737,5.477401256561279,0.7383177280426025,0.997474730014801,8.099999831756577e-06
0.9522795081138611,0.9853538870811462,0.1743895411491394,0.9831210970878601,0.952107846736908,0.7360594868659973,0.4954829812049866,5.342181205749512,0.737827718257904,0.9949495196342468,8.099999831756577e-06
0.9433318972587585,0.9851718544960022,0.1771533489227295,0.9823300242424011,0.9406366348266602,0.7379181981086731,0.5028809309005737,5.433072566986084,0.7383177280426025,0.997474730014801,2.429999995001708e-06
0.941840648651123,0.9839274883270264,0.1841241717338562,0.9805622100830078,0.9403498768806458,0.7379181981086731,0.5028809309005737,5.395123481750488,0.7383177280426025,0.997474730014801,2.429999995001708e-06
0.9439710378646851,0.9837214350700378,0.18674753606319427,0.981194019317627,0.9426441192626953,0.7379181981086731,0.5028809309005737,5.436154842376709,0.7383177280426025,0.997474730014801,7.2900002123788e-07
