model,precision@k,recall@k,ndcg@k,map@k,mrr,coverage,n_eval_users,rmse,mae,fit_sec,rank_sec
GlobalMean,0.0009621166973374784,0.006915213540196419,0.0029452478183759857,0.001467275625423551,0.001971718733594861,0.0091324200913242,1663,1.0628176927566528,0.8946770429611206,0.0,2.55
UserMean,0.0009621166973374784,0.006915213540196419,0.0029452478183759857,0.001467275625423551,0.001971718733594861,0.0091324200913242,1663,1.011078119277954,0.806632399559021,0.05,2.49
ItemMean,0.0,0.0,0.0,0.0,0.0,0.03505181985259289,1663,1.0082241296768188,0.8057357668876648,0.05,0.55
Popularity,0.00889957882463932,0.05201443284749985,0.03499861392881299,0.024425521862382952,0.037799110423884924,0.0022925784876560752,1663,1.0082241296768188,0.8057357668876648,0.09,0.58
ItemKNN(k=50),0.0024052916560322046,0.01443174947053194,0.007548566502312622,0.004264143019404595,0.0070151953344978,0.09390098334564884,1663,1.0179136991500854,0.7894113063812256,119.5,19.57
SVD(k=64),6.01322935835924e-05,0.0003006614570040256,0.000368699454459085,0.0003006614552014432,0.0006013229104028864,0.006063017488016067,1663,0.9366660118103027,0.7341955900192261,6.72,2.43
"ALS(f=64,it=15)",0.016837041825056076,0.10102225095033646,0.05343650022255894,0.031215221105479675,0.04864869379301129,0.02349419276606226,1663,3.5034587383270264,3.3384273052215576,7.05,2.02
"BPR(f=64,it=40)",0.010643416084349155,0.06313890218734741,0.0354130804519186,0.021663970258377956,0.03382536819097252,0.052805092934689934,1663,,,33.09,2.91
ContentBased(genome),0.000841852102894336,0.0045099216513335705,0.003301695091425853,0.0023635331061669005,0.003724861361662324,0.012031300327781883,1663,,,7.24,31.2
Hybrid(ALS*0.70+Content*0.30),0.016776910051703453,0.10072159022092819,0.053348251346955214,0.0311949383882637,0.04861934350809877,0.02358892741431251,1663,,,0.0,33.83
