title,genres,n,mean_rating
Planet Earth II (2016),Documentary,2041,4.4517393
Planet Earth (2006),Documentary,3015,4.448093
Band of Brothers (2001),Action|Drama|War,2835,4.423986
"Shawshank Redemption, The (1994)",Crime|Drama,122296,4.416792
Cosmos,(no genres listed),625,4.3432
Parasite (2019),Comedy|Drama,12399,4.329946
"Godfather, The (1972)",Crime|Drama,75004,4.3266025
Blue Planet II (2017),Documentary,1267,4.312944
Twelve Angry Men (1954),Drama,332,4.3057227
Twin Peaks (1989),Drama|Mystery,1132,4.3025618
